tweet_id,tweet_created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,lang,ttype,reply_settings,tweet_url,conv_id,user_id,user_page,name,username,description,user_created_at,followers_count,following_count,tweet_count,listed_count,verified
1487045292520267782,2022-01-28 12:50:00+00:00,"With @Regeneron, we provided a regulatory update in advanced cervical cancer. https://t.co/shIOoCAzp3",0,0,0,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1487045292520267782,conv_id: 1487045292520267782,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1486704327406272512,2022-01-27 14:15:07+00:00,"We believe everyone should always be able to be themselves. That’s why we build a culture to support all of our employees, and we appreciate the @HRC for recognizing us as a “Best Place to Work for LGBTQ Equality.” Learn more at https://t.co/GqYnJWIu8p #CEI2022 https://t.co/86ncwN2d4M",3,0,5,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1486704327406272512,conv_id: 1486704327406272512,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1486422807588261895,2022-01-26 19:36:28+00:00,"Is more potential possible for patients with ER+/HER2- metastatic breast cancer? Click to unlock additional research in endocrine resistance.
 #UnlockOpportunityinmBC #CrackOpenmBC",0,0,0,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1486422807588261895,conv_id: 1486422807588261895,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1484163855685201921,2022-01-20 14:00:12+00:00,Asthma. Atopic dermatitis. Eosinophilic esophagitis. Chronic rhinosinusitis with nasal polyps. These different diseases have something in common. Learn about type 2 inflammation—and how better understanding can lead to important connections: https://t.co/GhQ2ent4w2 @Regeneron https://t.co/DAPEdr4yzp,3,0,4,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1484163855685201921,conv_id: 1484163855685201921,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1483802625560690689,2022-01-19 14:04:48+00:00,"Together with @Regeneron, we’re announcing positive topline data from our second pivotal trial in adults with #PrurigoNodularis, a chronic inflammatory skin disease that causes extreme itch. Learn more.",0,0,6,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1483802625560690689,conv_id: 1483802625560690689,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1483069140864806913,2022-01-17 13:30:11+00:00,"He inspired. He challenged. He dreamed. Today, we honor Dr. Martin Luther King Jr. Tomorrow, we continue to answer his call to build a more equitable world. #MLKDay https://t.co/lMsdyuc6WI",3,0,11,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1483069140864806913,conv_id: 1483069140864806913,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1481989481087393795,2022-01-14 14:00:00+00:00,"Underlying type 2 inflammation may be present, even when symptoms are not. By learning more about type 2 inflammation, people can better understand their disease(s) and find different paths forward. @Regeneron",10,3,34,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1481989481087393795,conv_id: 1481989481087393795,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1481692964439183363,2022-01-13 18:21:45+00:00,Is chronic type 2 inflammation driving your disease? Discover the role of excessive type 2 inflammation and if it could be explaining your symptoms. https://t.co/UF2iij1hBY @Regeneron,0,0,3,0,0,en,tweet,everyone,https://twitter.com/twitter/status/1481692964439183363,conv_id: 1481692964439183363,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1481679221114253319,2022-01-13 17:27:09+00:00,"Severe respiratory syncytial virus (RSV) disease is unpredictable. Are ALL infants at risk? 

Learn more during the #RSVSpeakerSeries. Sign up for the January 20th event, The Unpredictability of Severe RSV Disease: Dispelling the Myths: https://t.co/lMSI3fSCz9 

#RethinkRSV #RSV",15,0,33,3,0,en,tweet,mentionedUsers,https://twitter.com/twitter/status/1481679221114253319,conv_id: 1481679221114253319,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
1481294233319485449,2022-01-12 15:57:20+00:00,"Join in a discussion about severe RSV disease in infants with Dr. Joseph Domachowske and other pediatric community peers during the #RSVSpeakerSeries. Sign up for the January 20th event, The Unpredictability of Severe RSV Disease: Dispelling the Myths https://t.co/Gp9DHHneUL",5,0,11,1,0,en,tweet,mentionedUsers,https://twitter.com/twitter/status/1481294233319485449,conv_id: 1481294233319485449,183033795, https://twitter.com/i/user/183033795,Sanofi US,SanofiUS,Official SanofiUS Twitter feed. We chase the miracles of science to improve people’s lives. For U.S. residents only. https://t.co/pxa3CmSFxS,2010-08-26 00:25:41+00:00,84018,5932,18266,1030,False
