tweet_id,tweet_created_at,text,retweet_count,reply_count,like_count,quote_count,impression_count,lang,ttype,reply_settings,tweet_url,conv_id,user_id,user_page,name,username,description,user_created_at,followers_count,following_count,tweet_count,listed_count,verified
1486642939967246346,2022-01-27 10:11:12+00:00,"[#Cybersecurite 💻] Pour se protéger contre les #cyberattaques, nous disposons d’un #CyberSecurity Operations Center, dont les équipes, basées à #Lyon et à #Bridgewater 🇺🇸, travaillent jour &amp; nuit pour protéger l’entreprise. Reportage 👇🏼

#cybercrime #Digital #numerique @sanofi https://t.co/Px0sO2fhu3",6,0,8,0,0,fr,tweet,everyone,https://twitter.com/twitter/status/1486642939967246346,conv_id: 1486642939967246346,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1486620181124239362,2022-01-27 08:40:45+00:00,"[#RSE] Chez nous, #EtreMentorCest œuvrer pour l'égalité des chances et créer une société + inclusive ! #Merci 🙏🏼 à tous nos collaborateurs mobilisés aux côtés de @Telemaque_asso @NQTasso @CapitalFilles @SDLV_Officiel @AssoProxite !

Tous nos engagements 👉🏼https://t.co/JGbdRjwRXS https://t.co/X8DecOxYPY",7,3,11,0,0,fr,tweet,everyone,https://twitter.com/twitter/status/1486620181124239362,conv_id: 1486620181124239362,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1486429625274273798,2022-01-26 20:03:33+00:00,"Toutes les équipes @SanofiFR saluent 👋🏼 Tessa, Kévin &amp; Benjamin, porte-drapeaux olympiques &amp; paralympiques @EquipeFRA 🇫🇷 pour les Jeux de Pékin ! https://t.co/wU4I65R98g",3,0,13,2,0,fr,tweet,everyone,https://twitter.com/twitter/status/1486429625274273798,conv_id: 1486429625274273798,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1486280763050008576,2022-01-26 10:12:02+00:00,"[#Innovation] Nous avons rencontré Manuel, qui nous explique en quoi l'#app 📱 Theia®, développée &amp; testée avec l’association @ValentinHauy, va changer le parcours de #santé des personnes déficientes visuelles ⬇️

Pour en savoir + 👉🏻https://t.co/VzB79U24UF

#Handicap #Digital https://t.co/NUixI0g8qB",2,0,10,0,0,fr,tweet,everyone,https://twitter.com/twitter/status/1486280763050008576,conv_id: 1486280763050008576,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1485523799030341638,2022-01-24 08:04:08+00:00,"[#Sante] (Re)découvrez #IMPRÉVISIBLE, notre #podcast 🎙️ qui donne la parole 💬 aux victimes de la #méningite. Avec beaucoup de courage, #patients, parents &amp; proches nous racontent ce jour où tout a basculé et leur combat pour se reconstruire ⬇️

https://t.co/mFJI3QztyI",4,0,10,0,0,fr,tweet,everyone,https://twitter.com/twitter/status/1485523799030341638,conv_id: 1485523799030341638,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1484439371122155523,2022-01-21 08:15:00+00:00,"[#RH] Océane, c'est quoi ton #job 🤔 ? Ingénieure #CyberSecurite sur notre Campus de #Lyon, elle se prête au jeu de l'interview 🎙️ et nous présente son métier et son parcours ⬇️

Envie de nous rejoindre ? C'est ici 👉🏼 https://t.co/y0HmETdJbw

#Emploi #Cyberattaque #cybercrime https://t.co/jNKeTnPIKz",4,0,24,0,0,fr,tweet,everyone,https://twitter.com/twitter/status/1484439371122155523,conv_id: 1484439371122155523,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1484157262109237250,2022-01-20 13:34:00+00:00,"RT @SanofiGenzymeFR: [#MaladieDeFabry] 💬 ""Pendant des années, nous avons cherché à comprendre ce qui m'arrivait""
👉 Thibaut vient d’apprendr…",3,0,0,0,0,fr,retweet,everyone,https://twitter.com/twitter/status/1484157262109237250,conv_id: 1484157262109237250,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1484089820813139971,2022-01-20 09:06:00+00:00,@GustaveRoussy @APHP @Inserm @WeizmannScience  @KingsCollegeLon @Cambridge_Uni @LMU_Muenchen,0,0,2,0,0,qam,tweet,everyone,https://twitter.com/twitter/status/1484089820813139971,conv_id: 1484089773367119872,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1484089773367119872,2022-01-20 09:05:49+00:00,"[#Science] À travers les #SanofiiAwardsEurope 🏆, nous soutenons chaque année des projets de #recherche disruptifs des meilleures institutions européennes pour faire avancer la #science et accélérer la mise à disposition de nouvelles solutions pour les #patients. Explications 👇🏼",5,1,13,0,0,fr,tweet,everyone,https://twitter.com/twitter/status/1484089773367119872,conv_id: 1484089773367119872,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
1483788521026506763,2022-01-19 13:08:45+00:00,"RT @Femina_fr: Les trois lauréates de notre Prix Solidarité ont été révélées la semaine dernière. Voici les autres finalistes, qui se verro…",5,0,0,0,0,fr,retweet,everyone,https://twitter.com/twitter/status/1483788521026506763,conv_id: 1483788521026506763,771517543, https://twitter.com/i/user/771517543,Sanofi en France,SanofiFR,Nous poursuivons les miracles de la science pour améliorer la vie des gens. Partenaire Premium des Jeux Olympiques et Paralympiques de @Paris2024.,2012-08-21 13:29:41+00:00,30210,547,12702,443,False
